"","V1"
"1194",1.0849
"1195",1.0783
"1196",1.0818
"1197",1.0923
"1198",1.1071
"1199",1.1135
"1200",1.1172
"1201",1.1217
"1202",1.1172
"1203",1.1281
"1204",1.1235
"1205",1.1212
"1206",1.129
"1207",1.1312
"1208",1.1468
"1209",1.1464
"1210",1.1466
"1211",1.1493
"1212",1.1487
"1213",1.1413
"1214",1.1652
"1215",1.1671
"1216",1.1692
"1217",1.1686
"1218",1.1579
"1219",1.1768
"1220",1.1781
"1221",1.1788
"1222",1.1788
"1223",1.1688
"1224",1.1634
"1225",1.1669
"1226",1.1615
"1227",1.1579
"1228",1.1629
"1229",1.1623
"1230",1.1694
"1231",1.1786
"1232",1.1781
"1233",1.1748
"1234",1.1673
"1235",1.1684
"1236",1.1736
"1237",1.1622
"1238",1.1589
"1239",1.1468
"1240",1.1473
"1241",1.1449
"1242",1.1424
"1243",1.1483
"1244",1.1497
"1245",1.16
"1246",1.168
"1247",1.1765
"1248",1.1802
"1249",1.1778
"1250",1.191
"1251",1.1909
"1252",1.1899
"1253",1.1823
"1254",1.1766
"1255",1.1828
"1256",1.1902
"1257",1.1994
"1258",1.2019
"1259",1.1975
"1260",1.2102
"1261",1.2074
"1262",1.2087
"1263",1.2218
"1264",1.2258
"1265",1.2239
"1266",1.2187
"1267",1.2254
"1268",1.223
"1269",1.2339
"1270",1.2337
"1271",1.2403
"1272",1.2418
"1273",1.2434
"1274",1.2392
"1275",1.2407
"1276",1.2499
"1277",1.2496
"1278",1.263
"1279",1.2592
"1280",1.2657
"1281",1.2756
"1282",1.2679
"1283",1.2634
"1284",1.2737
"1285",1.2828
"1286",1.2749
"1287",1.2692
"1288",1.2635
"1289",1.2493
"1290",1.2373
"1291",1.2536
"1292",1.2607
"1293",1.271
"1294",1.2692
"1295",1.2575
"1296",1.2517
"1297",1.2563
"1298",1.2468
"1299",1.2384
"1300",1.2461
"1301",1.2585
"1302",1.2524
"1303",1.2583
"1304",1.2529
"1305",1.2713
"1306",1.2764
"1307",1.268
"1308",1.2802
"1309",1.2816
"1310",1.2741
"1311",1.2858
"1312",1.2824
"1313",1.2724
"1314",1.2663
"1315",1.2576
"1316",1.2595
"1317",1.2629
"1318",1.2444
"1319",1.2418
"1320",1.2484
"1321",1.2402
"1322",1.2143
"1323",1.2147
"1324",1.2192
"1325",1.2356
"1326",1.2361
"1327",1.2299
"1328",1.2256
"1329",1.2235
"1330",1.2278
"1331",1.235
"1332",1.2251
"1333",1.2261
"1334",1.2344
"1335",1.2353
"1336",1.2276
"1337",1.2196
"1338",1.2132
"1339",1.2173
"1340",1.2118
"1341",1.2187
"1342",1.2224
"1343",1.232
"1344",1.2318
"1345",1.2058
"1346",1.209
"1347",1.2101
"1348",1.2096
"1349",1.1975
"1350",1.1924
"1351",1.1912
"1352",1.1932
"1353",1.2044
"1354",1.1926
"1355",1.1836
"1356",1.1873
"1357",1.1885
"1358",1.1851
"1359",1.1887
"1360",1.1907
"1361",1.1826
"1362",1.1947
"1363",1.1953
"1364",1.2061
"1365",1.2126
"1366",1.2116
"1367",1.2073
"1368",1.1843
"1369",1.1804
"1370",1.1857
"1371",1.1823
"1372",1.1802
"1373",1.2023
"1374",1.1983
"1375",1.1989
"1376",1.1922
"1377",1.2031
"1378",1.1968
"1379",1.2063
"1380",1.2106
"1381",1.2165
"1382",1.2246
"1383",1.2198
"1384",1.2231
"1385",1.2276
"1386",1.2226
"1387",1.2203
"1388",1.2319
"1389",1.2294
"1390",1.2157
"1391",1.2052
"1392",1.2006
"1393",1.2001
"1394",1.2051
"1395",1.2058
"1396",1.2045
"1397",1.2042
"1398",1.2112
"1399",1.2091
"1400",1.2087
"1401",1.2122
"1402",1.2138
"1403",1.2208
"1404",1.2169
"1405",1.2155
"1406",1.2168
"1407",1.2148
"1408",1.2288
"1409",1.2309
"1410",1.2357
"1411",1.2348
"1412",1.2372
"1413",1.2397
"1414",1.2372
"1415",1.2381
"1416",1.2374
"1417",1.2353
"1418",1.2412
"1419",1.2385
"1420",1.2296
"1421",1.2268
"1422",1.2191
"1423",1.2163
"1424",1.2168
"1425",1.2034
"1426",1.2026
"1427",1.2039
"1428",1.2055
"1429",1.2022
"1430",1.1983
"1431",1.2042
"1432",1.2064
"1433",1.2247
"1434",1.2279
"1435",1.2233
"1436",1.2256
"1437",1.2219
"1438",1.2337
"1439",1.2338
"1440",1.2331
"1441",1.2359
"1442",1.2293
"1443",1.225
"1444",1.2139
"1445",1.2081
"1446",1.21
"1447",1.2085
"1448",1.2047
"1449",1.2111
"1450",1.2168
"1451",1.2172
"1452",1.2175
"1453",1.2071
"1454",1.2079
"1455",1.2039
"1456",1.2191
"1457",1.2219
"1458",1.2236
"1459",1.2237
"1460",1.2238
"1461",1.2158
